filepath,label,label_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
dataset\C\0001.png,C,0,0.0,0.1261470764875412,0.23299585282802582,0.3217525780200958,0.4291890561580658,0.15757417678833008,0.17911511659622192,0.1686359941959381,0.1536615490913391,0.03551408648490906,0.0012956801801919937,-0.022062964737415314,-0.04338787496089935,-0.07951023429632187,-0.12706343829631805,-0.15006808936595917,-0.1693381667137146,-0.17245683073997498,-0.2580867111682892,-0.3232661485671997,-0.38279592990875244,0.0,-0.1680229753255844,-0.40718913078308105,-0.5742677450180054,-0.621878981590271,-0.2970185875892639,-0.48942050337791443,-0.6154578328132629,-0.6814942955970764,-0.2643783688545227,-0.5572706460952759,-0.7775513529777527,-0.9322986006736755,-0.24088916182518005,-0.5632584691047668,-0.8006796836853027,-1.0,-0.21550890803337097,-0.3670823872089386,-0.41571471095085144,-0.46274247765541077,0.0,-0.030062679201364517,-0.07688930630683899,-0.11396770179271698,-0.15913113951683044,-0.19162723422050476,-0.26673755049705505,-0.3049613833427429,-0.32770392298698425,-0.20992247760295868,-0.27584943175315857,-0.3062836527824402,-0.3351121246814728,-0.2212359607219696,-0.2958739995956421,-0.3451954126358032,-0.3834126591682434,-0.22649702429771423,-0.298348605632782,-0.3312329351902008,-0.3559940755367279
dataset\C\0002.png,C,0,0.0,0.12228717654943466,0.22315742075443268,0.3193338215351105,0.4488257169723511,0.1395718902349472,0.1251627653837204,0.09942106157541275,0.07826470583677292,-0.017435435205698013,-0.09491341561079025,-0.13920550048351288,-0.17102393507957458,-0.15348166227340698,-0.24842287600040436,-0.30376720428466797,-0.3474684953689575,-0.24673053622245789,-0.3724375367164612,-0.46679097414016724,-0.5511742830276489,0.0,-0.1966862678527832,-0.4442433714866638,-0.6244869232177734,-0.6782668232917786,-0.26285141706466675,-0.448563814163208,-0.5978489518165588,-0.7242629528045654,-0.18300692737102509,-0.45176392793655396,-0.6880996823310852,-0.873530387878418,-0.12895402312278748,-0.4295904338359833,-0.6764124035835266,-0.8917766809463501,-0.08058701455593109,-0.16529618203639984,-0.1285065859556198,-0.10882854461669922,0.0,-0.06605551391839981,-0.14297185838222504,-0.20414726436138153,-0.27612850069999695,-0.28471681475639343,-0.3843805193901062,-0.4355939030647278,-0.4722636044025421,-0.29668718576431274,-0.3969465494155884,-0.4365176856517792,-0.47532060742378235,-0.30033090710639954,-0.41059157252311707,-0.4724089801311493,-0.5207903981208801,-0.2996439039707184,-0.4039289057254791,-0.45088115334510803,-0.48825347423553467
dataset\C\0003.png,C,0,0.0,0.07585910707712173,0.17155063152313232,0.28766149282455444,0.42858704924583435,0.1652398258447647,0.16359615325927734,0.11401873826980591,0.0686902180314064,0.021951356902718544,-0.08454383909702301,-0.16256862878799438,-0.22567281126976013,-0.10663678497076035,-0.2548009753227234,-0.3259139358997345,-0.38334545493125916,-0.2080029994249344,-0.3279988467693329,-0.40495145320892334,-0.4634706377983093,0.0,-0.31268027424812317,-0.5684263110160828,-0.7053091526031494,-0.7022863626480103,-0.1990402489900589,-0.3275400698184967,-0.4588942527770996,-0.5694730281829834,-0.05318917706608772,-0.23156951367855072,-0.43963882327079773,-0.6109324097633362,0.05650299787521362,-0.11467614024877548,-0.29223138093948364,-0.4609265923500061,0.13437555730342865,0.16376487910747528,0.24077659845352173,0.294690877199173,0.0,-0.07347138971090317,-0.1327669769525528,-0.17378638684749603,-0.22590923309326172,-0.24090278148651123,-0.31721824407577515,-0.3693562150001526,-0.410468727350235,-0.24471326172351837,-0.3161303699016571,-0.3690505921840668,-0.42773711681365967,-0.238838791847229,-0.32886290550231934,-0.381233811378479,-0.4304817020893097,-0.23240679502487183,-0.3159334659576416,-0.3361622989177704,-0.35831257700920105
dataset\C\0004.png,C,0,0.0,0.119576595723629,0.1948644369840622,0.26168298721313477,0.3668496310710907,0.1290827989578247,0.11881206184625626,0.10925083607435226,0.10053449869155884,-0.007437022868543863,-0.05404281988739967,-0.08050478249788284,-0.10043017566204071,-0.12378033250570297,-0.1829679310321808,-0.22533975541591644,-0.2601696848869324,-0.21136751770973206,-0.3118647038936615,-0.3882431089878082,-0.4601020812988281,0.0,-0.18429462611675262,-0.4533103108406067,-0.6222025156021118,-0.6641532778739929,-0.32317861914634705,-0.5241479277610779,-0.644798219203949,-0.7334043383598328,-0.28492990136146545,-0.5613978505134583,-0.7656448483467102,-0.921083927154541,-0.2504499554634094,-0.5640458464622498,-0.7971148490905762,-1.0,-0.21070511639118195,-0.3490544557571411,-0.38559648394584656,-0.42445477843284607,0.0,-0.057824164628982544,-0.12036047130823135,-0.1696917861700058,-0.22781209647655487,-0.23645725846290588,-0.3229745328426361,-0.3694811761379242,-0.4015180468559265,-0.24724143743515015,-0.33155080676078796,-0.37149080634117126,-0.40813544392585754,-0.25085869431495667,-0.337338387966156,-0.39281296730041504,-0.4375458359718323,-0.2511507272720337,-0.332074373960495,-0.37284964323043823,-0.4058714509010315
dataset\C\0005.png,C,0,0.0,0.1149563193321228,0.18680229783058167,0.2289631962776184,0.3018203675746918,0.15443530678749084,0.1447911560535431,0.12414032965898514,0.10878244042396545,0.029801560565829277,-0.02964649721980095,-0.048678431659936905,-0.05669717118144035,-0.0819820836186409,-0.1394393891096115,-0.1616755872964859,-0.16779471933841705,-0.16727623343467712,-0.26548969745635986,-0.33689507842063904,-0.394981324672699,0.0,-0.18353846669197083,-0.4117533564567566,-0.5724655389785767,-0.5875402688980103,-0.30505621433258057,-0.4915221035480499,-0.5860171318054199,-0.6009805202484131,-0.27245914936065674,-0.5824134945869446,-0.797050952911377,-0.9169285893440247,-0.25648316740989685,-0.595654308795929,-0.8245287537574768,-1.0,-0.24847769737243652,-0.4266096353530884,-0.49393537640571594,-0.5452516078948975,0.0,-0.032525982707738876,-0.07661568373441696,-0.10766306519508362,-0.14188385009765625,-0.20297901332378387,-0.280498206615448,-0.3134196400642395,-0.33002644777297974,-0.21064089238643646,-0.2869630753993988,-0.3087799549102783,-0.32648661732673645,-0.21118031442165375,-0.2861882448196411,-0.32702428102493286,-0.35544082522392273,-0.20580263435840607,-0.27543380856513977,-0.31156930327415466,-0.33741968870162964
dataset\C\0006.png,C,0,0.0,0.13530266284942627,0.24870026111602783,0.3212498724460602,0.40745219588279724,0.2706661522388458,0.39021241664886475,0.3576943278312683,0.306100070476532,0.19735687971115112,0.20416462421417236,0.14094369113445282,0.08335201442241669,0.09232551604509354,0.06066305190324783,0.021946340799331665,-0.010393544100224972,-0.017507709562778473,-0.08434299379587173,-0.12895004451274872,-0.1630759984254837,0.0,-0.15768271684646606,-0.40113434195518494,-0.5999773740768433,-0.650796115398407,-0.3516506254673004,-0.48931586742401123,-0.6481699347496033,-0.7261783480644226,-0.29310333728790283,-0.6284520626068115,-0.8562003970146179,-0.9655992984771729,-0.26141512393951416,-0.6155084371566772,-0.8524885177612305,-1.0,-0.24968907237052917,-0.4191145896911621,-0.46060648560523987,-0.4712316393852234,0.0,0.000828042917419225,-0.020264511927962303,-0.034538641571998596,-0.054399244487285614,-0.13692612946033478,-0.194083571434021,-0.20816119015216827,-0.21238037943840027,-0.1606859266757965,-0.22662228345870972,-0.24504010379314423,-0.25434327125549316,-0.1765395551919937,-0.25719913840293884,-0.3028203248977661,-0.328042209148407,-0.18105410039424896,-0.2618429362773895,-0.297363817691803,-0.31519654393196106
dataset\C\0007.png,C,0,0.0,0.10402286797761917,0.2673931419849396,0.40253522992134094,0.5308622717857361,0.39814022183418274,0.5518940091133118,0.47243136167526245,0.3860098719596863,0.31833645701408386,0.300176739692688,0.14648392796516418,0.02401803992688656,0.17833805084228516,0.10780085623264313,-0.012538003735244274,-0.09014079719781876,0.018587693572044373,-0.08108127862215042,-0.15230482816696167,-0.18304228782653809,0.0,-0.46087968349456787,-0.7742881774902344,-0.9500272870063782,-0.974465012550354,-0.4884575605392456,-0.5712443590164185,-0.7583900094032288,-0.86783766746521,-0.2940780520439148,-0.5300099849700928,-0.8497509956359863,-1.0,-0.14268283545970917,-0.426914244890213,-0.7232006788253784,-0.8663448095321655,-0.0350109227001667,-0.12644308805465698,-0.14732235670089722,-0.07928749918937683,0.0,-0.059601519256830215,-0.11471011489629745,-0.1596713811159134,-0.2113415002822876,-0.2532372772693634,-0.38527044653892517,-0.4527876675128937,-0.49277806282043457,-0.2907194197177887,-0.4303387999534607,-0.4768912196159363,-0.5068523287773132,-0.3277229368686676,-0.4872087240219116,-0.5417726635932922,-0.5686271786689758,-0.36008816957473755,-0.5109795331954956,-0.5600614547729492,-0.5819379091262817
dataset\C\0008.png,C,0,0.0,0.11535938829183578,0.2059962898492813,0.2686383128166199,0.3593432605266571,0.18123988807201385,0.1974642127752304,0.18228715658187866,0.1656547337770462,0.07030413299798965,0.026331055909395218,0.007279370911419392,-0.003278919029980898,-0.03804008290171623,-0.08271485567092896,-0.10012004524469376,-0.10673011839389801,-0.1292528510093689,-0.2095218300819397,-0.26801797747612,-0.3208368122577667,0.0,-0.16407780349254608,-0.38288789987564087,-0.5393681526184082,-0.5496072173118591,-0.22613440454006195,-0.38109198212623596,-0.4929162561893463,-0.5200909376144409,-0.20516826212406158,-0.5486907958984375,-0.7697440981864929,-0.8803752064704895,-0.1973630040884018,-0.562764585018158,-0.8166530132293701,-1.0,-0.1972000151872635,-0.39381060004234314,-0.4825249910354614,-0.5409997701644897,0.0,-0.03848879039287567,-0.08671893179416656,-0.12073719501495361,-0.1597365438938141,-0.20490016043186188,-0.2825321555137634,-0.31742799282073975,-0.3358564078807831,-0.21472954750061035,-0.2892289459705353,-0.31573355197906494,-0.336540162563324,-0.2170691192150116,-0.29617342352867126,-0.3432866036891937,-0.3746531009674072,-0.21304191648960114,-0.2912602424621582,-0.32975441217422485,-0.35596561431884766
dataset\C\0009.png,C,0,0.0,0.18986603617668152,0.4067038893699646,0.5659140944480896,0.6994608044624329,0.5419958233833313,0.6796945333480835,0.6509530544281006,0.5932184457778931,0.45642852783203125,0.5768551826477051,0.5559634566307068,0.5123770833015442,0.3113493323326111,0.32849305868148804,0.24735429883003235,0.18539485335350037,0.13359202444553375,0.10787928849458694,0.04786530137062073,0.011416584253311157,0.0,-0.3883800804615021,-0.598209023475647,-0.6585839986801147,-0.6378734111785889,-0.22171303629875183,-0.13702388107776642,-0.34088948369026184,-0.5006004571914673,-0.07740146666765213,-0.12881894409656525,-0.37396228313446045,-0.53461092710495,-0.03527842089533806,-0.39660632610321045,-0.7648370265960693,-0.990683376789093,-0.07487485557794571,-0.49641475081443787,-0.806016206741333,-1.0,0.0,-0.05517711490392685,-0.10166344791650772,-0.14982862770557404,-0.19117100536823273,-0.12668699026107788,-0.2680128812789917,-0.3541709780693054,-0.3981696665287018,-0.1718679517507553,-0.3252221941947937,-0.38415709137916565,-0.4030163288116455,-0.22738416492938995,-0.39515525102615356,-0.42185673117637634,-0.40774306654930115,-0.2823190987110138,-0.4078923463821411,-0.41962745785713196,-0.405554860830307
dataset\C\0010.png,C,0,0.0,0.22875113785266876,0.4043772518634796,0.5392889976501465,0.654249906539917,0.44696974754333496,0.5414267182350159,0.5468326807022095,0.526704728603363,0.33142781257629395,0.3429558575153351,0.30627334117889404,0.2749582529067993,0.18975497782230377,0.1837228238582611,0.14646627008914948,0.12287779897451401,0.04473799094557762,0.03781969100236893,0.024569567292928696,0.024764152243733406,0.0,-0.3416972756385803,-0.5334269404411316,-0.5994148254394531,-0.5539981126785278,-0.151020348072052,-0.11096097528934479,-0.2177632749080658,-0.32392847537994385,-0.1121903732419014,-0.34298115968704224,-0.621257483959198,-0.8145442008972168,-0.15586476027965546,-0.4996783435344696,-0.799405038356781,-1.0,-0.26479074358940125,-0.5829342007637024,-0.8253000974655151,-0.9897904992103577,0.0,-0.04686485603451729,-0.09268011152744293,-0.1414569616317749,-0.19246457517147064,-0.11419421434402466,-0.2261275053024292,-0.30866900086402893,-0.36121174693107605,-0.14724789559841156,-0.2621854543685913,-0.3259279727935791,-0.3723396360874176,-0.186580628156662,-0.311859130859375,-0.3474102318286896,-0.36210453510284424,-0.22628799080848694,-0.32478243112564087,-0.34644070267677307,-0.35288572311401367
dataset\C\0011.png,C,0,0.0,0.16057324409484863,0.3027099370956421,0.4143376350402832,0.5262646675109863,0.2876500189304352,0.39159706234931946,0.4012535512447357,0.3842024803161621,0.19427651166915894,0.1998334378004074,0.17870518565177917,0.13959023356437683,0.07909218966960907,0.04766524210572243,0.028220297768712044,0.0038350194226950407,-0.03155392035841942,-0.11901286244392395,-0.1719619333744049,-0.21286743879318237,0.0,-0.15739752352237701,-0.3601674735546112,-0.5032818913459778,-0.48443442583084106,-0.2822262644767761,-0.36658814549446106,-0.46127375960350037,-0.498083233833313,-0.2294825166463852,-0.5199732780456543,-0.7630636692047119,-0.9101507067680359,-0.21063823997974396,-0.5618153214454651,-0.8186007738113403,-1.0,-0.212802916765213,-0.3946228325366974,-0.44880861043930054,-0.48437047004699707,0.0,-0.00992205273360014,-0.04593535140156746,-0.07146695256233215,-0.1026170626282692,-0.17599043250083923,-0.2506438195705414,-0.2825729548931122,-0.298286110162735,-0.19811855256557465,-0.27888137102127075,-0.3157486915588379,-0.34269487857818604,-0.2095329463481903,-0.30440786480903625,-0.35998058319091797,-0.39372220635414124,-0.20936298370361328,-0.29656967520713806,-0.33063170313835144,-0.3488779067993164
dataset\C\0012.png,C,0,0.0,0.1931137591600418,0.3675236701965332,0.49975356459617615,0.6242212057113647,0.3995819389820099,0.49443137645721436,0.5458571910858154,0.5853425860404968,0.28187039494514465,0.24390271306037903,0.16655944287776947,0.0883340910077095,0.1250797063112259,0.08685867488384247,0.01530403085052967,-0.04126175120472908,-0.04213244467973709,-0.1357724368572235,-0.21616333723068237,-0.27237287163734436,0.0,-0.4318118095397949,-0.6533021926879883,-0.7346484065055847,-0.7073413133621216,-0.32041797041893005,-0.2760382294654846,-0.2680381238460541,-0.270242303609848,-0.18936216831207275,-0.38841378688812256,-0.7320993542671204,-1.0,-0.1255778819322586,-0.3971150517463684,-0.7225660681724548,-0.9788801074028015,-0.1499292403459549,-0.26077163219451904,-0.3426464796066284,-0.37454044818878174,0.0,-0.04921060800552368,-0.09887135028839111,-0.15150585770606995,-0.2132778763771057,-0.15052318572998047,-0.26784810423851013,-0.36379197239875793,-0.4329168498516083,-0.19799205660820007,-0.32360711693763733,-0.4107477366924286,-0.4802576005458832,-0.24762403964996338,-0.40172532200813293,-0.4697332978248596,-0.5115317106246948,-0.2954730987548828,-0.4324025809764862,-0.47033023834228516,-0.48959535360336304
